source,target,value
ciganear,andarilhar,1.0
ciganear,arruar,1.0
ciganear,bangular,1.0
ciganear,bestar,1.0
ciganear,bestear,1.0
ciganear,corricar,1.0
ciganear,deambular,1.0
ciganear,desvairar,1.0
ciganear,desvariar,1.0
ciganear,divagar,1.0
ciganear,doidejar,1.0
ciganear,doudejar,1.0
ciganear,errar,1.0
ciganear,flanar,1.0
ciganear,girar,1.0
ciganear,perambular,1.0
ciganear,pervagar,1.0
ciganear,vagabundar,1.0
ciganear,vagabundear,1.0
ciganear,vagamundear,1.0
ciganear,vagar,1.0
ciganear,vaguear,1.0
ciganear,vaguejar,1.0
ciganear,zanzar,1.0
ciganear,zaranzar,1.0
