source,target,value
colérico,abespinhado,1.0
colérico,abespinhável,1.0
colérico,agastadiço,1.0
colérico,anojadiço,1.0
colérico,árdego,1.0
colérico,argonaço,1.0
colérico,assanhadiço,1.0
colérico,assomadiço,1.0
colérico,assomado,1.0
colérico,atrabiliário,1.0
colérico,atrabilioso,1.0
colérico,azougado,1.0
colérico,cavaquista,1.0
colérico,fogoso,1.0
colérico,genioso,1.0
colérico,iracundo,1.0
colérico,irascível,1.0
colérico,iroso,1.0
colérico,irritadiço,1.0
colérico,irritável,1.0
colérico,raivento,1.0
colérico,raivudo,1.0
colérico,tomadiço,1.0
colérico,violento,1.0
colérico,zangadiço,1.0
colérico,zangado,1.0
colérico,acirrado,1.0
colérico,agastado,1.0
colérico,aquecido,1.0
colérico,assanhado,1.0
colérico,assomado,1.0
colérico,azedado,1.0
colérico,bramoso,1.0
colérico,bravo,1.0
colérico,danado,1.0
colérico,embravecido,1.0
colérico,encanzinado,1.0
colérico,encolerizado,1.0
colérico,enfurecido,1.0
colérico,enfuriado,1.0
colérico,enraivado,1.0
colérico,enraivecido,1.0
colérico,enviperado,1.0
colérico,escabreado,1.0
colérico,espumante,1.0
colérico,estramontado,1.0
colérico,exacerbado,1.0
colérico,exasperado,1.0
colérico,furente,1.0
colérico,furibundo,1.0
colérico,furioso,1.0
colérico,iracundo,1.0
colérico,irado,1.0
colérico,irritado,1.0
colérico,rábido,1.0
colérico,rabioso,1.0
colérico,raivento,1.0
colérico,raivoso,1.0
colérico,sanhoso,1.0
colérico,sanhudo,1.0
colérico,zangado,1.0
