source,target,value
concertado,conciliado,1.0
concertado,concordado,1.0
concertado,afilado,1.0
concertado,comparado,1.0
concertado,conferido,1.0
concertado,confrontado,1.0
concertado,contrastado,1.0
concertado,cotejado,1.0
concertado,acordado,1.0
concertado,ajustado,1.0
concertado,apalavrado,1.0
concertado,aprazado,1.0
concertado,avençado,1.0
concertado,avençal,1.0
concertado,avindo,1.0
concertado,certo,1.0
concertado,combinado,1.0
concertado,convencionado,1.0
concertado,conversado,1.0
concertado,pactuado,1.0
