source,target,value
concutir,agitar,1.0
concutir,aluir,1.0
concutir,combalir,1.0
concutir,estremecer,1.0
concutir,fremir,1.0
concutir,sacolejar,1.0
concutir,sacudir,1.0
concutir,tremer,1.0
concutir,dar,1.0
concutir,encasquetar,1.0
concutir,falar,1.0
concutir,imbuir,1.0
concutir,impor,1.0
concutir,impregnar,1.0
concutir,incutir,1.0
concutir,induzir,1.0
concutir,infiltrar,1.0
concutir,infundir,1.0
concutir,inspirar,1.0
concutir,insuflar,1.0
concutir,meter,1.0
concutir,penhorar,1.0
concutir,plantar,1.0
