source,target,value
consentir,permitir,1.0
consentir,tolerar,1.0
consentir,deixar,1.0
consentir,aceitar,1.0
consentir,admitir,1.0
consentir,anuir,1.0
consentir,aquiescer,1.0
consentir,assentar,1.0
consentir,assentir,1.0
consentir,concordar,1.0
consentir,condescender,1.0
consentir,convir,1.0
consentir,estar,1.0
consentir,querer,1.0
consentir,relevar,1.0
consentir,desapoiar,1.0
consentir,desconvir,1.0
consentir,desdizer,1.0
consentir,discordar,1.0
consentir,aturar,1.0
consentir,compadecer,1.0
consentir,comportar,1.0
consentir,padecer,1.0
consentir,permitir,1.0
consentir,sofrer,1.0
consentir,suportar,1.0
consentir,tolerar,1.0
