source,target,value
contemplar,mirar,1.0
contemplar,olhar,1.0
contemplar,abraçar,1.0
contemplar,abranger,1.0
contemplar,atingir,1.0
contemplar,cingir,1.0
contemplar,conter,1.0
contemplar,apreciar,1.0
contemplar,sentir,1.0
contemplar,atentar,1.0
contemplar,cogitar,1.0
contemplar,conceber,1.0
contemplar,considerar,1.0
contemplar,cuidar,1.0
contemplar,devanear,1.0
contemplar,discorrer,1.0
contemplar,discursar,1.0
contemplar,especular,1.0
contemplar,excogitar,1.0
contemplar,imaginar,1.0
contemplar,mastigar,1.0
contemplar,matutar,1.0
contemplar,meditar,1.0
contemplar,pensar,1.0
contemplar,ponderar,1.0
contemplar,raciocinar,1.0
contemplar,razoar,1.0
contemplar,refletir,1.0
contemplar,reflexionar,1.0
contemplar,trabalhar,1.0
