source,target,value
convalescer,adoecer,1.0
convalescer,enfermar,1.0
convalescer,entecar,1.0
convalescer,cobrar,1.0
convalescer,desentibiar,1.0
convalescer,fortificar,1.0
convalescer,reanimar,1.0
convalescer,recobrar,1.0
convalescer,recompor,1.0
convalescer,reconfortar,1.0
convalescer,reconstituir,1.0
convalescer,refazer,1.0
convalescer,reflorescer,1.0
convalescer,reflorir,1.0
convalescer,refocilar,1.0
convalescer,renovar,1.0
convalescer,reparar,1.0
convalescer,restabelecer,1.0
convalescer,reverdecer,1.0
convalescer,revigorar,1.0
