source,target,value
corar,doirar,1.0
corar,dourar,1.0
corar,abrasear,1.0
corar,acarminar,1.0
corar,afoguear,1.0
corar,afrontar,1.0
corar,avermelhar,1.0
corar,carminar,1.0
corar,enrubescer,1.0
corar,envermelhecer,1.0
corar,erubescer,1.0
corar,esbrasear,1.0
corar,escandescer,1.0
corar,esfoguear,1.0
corar,foguear,1.0
corar,incender,1.0
corar,incendiar,1.0
corar,inflamar,1.0
corar,rosar,1.0
corar,rosear,1.0
corar,rubescer,1.0
corar,rubificar,1.0
corar,ruborescer,1.0
corar,ruborizar,1.0
corar,desenrubescer,1.0
corar,desmaiar,1.0
corar,empalecer,1.0
corar,empalidecer,1.0
corar,enlividecer,1.0
corar,palejar,1.0
corar,colorear,1.0
corar,colorir,1.0
corar,colorizar,1.0
corar,matizar,1.0
corar,pigmentar,1.0
corar,pintar,1.0
corar,tingir,1.0
corar,descolorar,1.0
corar,descolorir,1.0
corar,desmerecer,1.0
corar,destingir,1.0
