source,target,value
corroído,carunchento,1.0
corroído,carunchoso,1.0
corroído,comido,1.0
corroído,buído,1.0
corroído,coçado,1.0
corroído,cotiado,1.0
corroído,desgastado,1.0
corroído,estafado,1.0
corroído,gasto,1.0
corroído,puído,1.0
corroído,safado,1.0
corroído,surrado,1.0
corroído,corrompido,1.0
corroído,corrupto,1.0
corroído,corruto,1.0
corroído,degenerado,1.0
corroído,degênere,1.0
corroído,depravado,1.0
corroído,derrancado,1.0
corroído,desencaminhado,1.0
corroído,desgarrado,1.0
corroído,desmoralizado,1.0
corroído,dissoluto,1.0
corroído,pervertido,1.0
corroído,viciado,1.0
corroído,vicioso,1.0
