source,target,value
cotovelar,acirrar,1.0
cotovelar,açodar,1.0
cotovelar,acordar,1.0
cotovelar,açular,1.0
cotovelar,afalcoar,1.0
cotovelar,aferroar,1.0
cotovelar,afervorar,1.0
cotovelar,afoguear,1.0
cotovelar,aguilhar,1.0
cotovelar,aguilhoar,1.0
cotovelar,aliciar,1.0
cotovelar,apicaçar,1.0
cotovelar,atiçar,1.0
cotovelar,beliscar,1.0
cotovelar,concitar,1.0
cotovelar,desafiar,1.0
cotovelar,despertar,1.0
cotovelar,eletrizar,1.0
cotovelar,escandescer,1.0
cotovelar,esfoguear,1.0
cotovelar,espicaçar,1.0
cotovelar,esporar,1.0
cotovelar,esporear,1.0
cotovelar,estimular,1.0
cotovelar,estugar,1.0
cotovelar,excitar,1.0
cotovelar,garrochar,1.0
cotovelar,impelir,1.0
cotovelar,incitar,1.0
cotovelar,inflamar,1.0
cotovelar,instigar,1.0
cotovelar,mordicar,1.0
cotovelar,mordiscar,1.0
cotovelar,motivar,1.0
cotovelar,picar,1.0
cotovelar,provocar,1.0
cotovelar,pruir,1.0
cotovelar,prurir,1.0
cotovelar,pungir,1.0
cotovelar,puxar,1.0
cotovelar,repruir,1.0
cotovelar,reprurir,1.0
cotovelar,soprar,1.0
cotovelar,desmotivar,1.0
