source,target,value
crescer,criar-se,1.0
crescer,desenvolver-se,1.0
crescer,engrossar,1.0
crescer,gradar,1.0
crescer,gradecer,1.0
crescer,desenvolver-se,1.0
crescer,medrar,1.0
crescer,pular,1.0
crescer,subir,1.0
crescer,aumentar,1.0
crescer,avantajar,1.0
crescer,avultar,1.0
crescer,diminuir,1.0
crescer,minuir,1.0
crescer,acometer,1.0
crescer,aferrar,1.0
crescer,agredir,1.0
crescer,arremeter,1.0
crescer,assaltar,1.0
crescer,assaltear,1.0
crescer,atacar,1.0
crescer,atirar-se,1.0
crescer,avançar,1.0
crescer,carregar,1.0
crescer,investir,1.0
crescer,ir,1.0
crescer,opugnar,1.0
crescer,partir,1.0
crescer,remeter,1.0
crescer,saltear,1.0
crescer,voltar-se,1.0
