source,target,value
crespo,cascaburrento,1.0
crespo,grosso,1.0
crespo,rugoso,1.0
crespo,encrespado,1.0
crespo,frisado,1.0
crespo,liso,1.0
crespo,arrogante,1.0
crespo,agitado,1.0
crespo,borrascoso,1.0
crespo,bravio,1.0
crespo,bravo,1.0
crespo,empolado,1.0
crespo,encapelado,1.0
crespo,enfurecido,1.0
crespo,proceloso,1.0
crespo,revolto,1.0
crespo,tempestuoso,1.0
crespo,bonançoso,1.0
crespo,calmo,1.0
crespo,chão,1.0
crespo,dormente,1.0
crespo,manso,1.0
crespo,plácido,1.0
crespo,remansado,1.0
crespo,remansoso,1.0
crespo,sereno,1.0
crespo,tranqüilo,1.0
