source,target,value
debochado,debochativo,1.0
debochado,trocista,1.0
debochado,crapuloso,1.0
debochado,desenvolto,1.0
debochado,desregrado,1.0
debochado,devasso,1.0
debochado,imoral,1.0
debochado,imorigerado,1.0
debochado,libertino,1.0
debochado,libidinoso,1.0
debochado,licencioso,1.0
debochado,luxurioso,1.0
debochado,perdido,1.0
debochado,caçoador,1.0
debochado,caçoante,1.0
debochado,caçoista,1.0
debochado,chasqueador,1.0
debochado,escarnecedor,1.0
debochado,escarninho,1.0
debochado,galhofeiro,1.0
debochado,galhofento,1.0
debochado,irônico,1.0
debochado,irrisor,1.0
debochado,lépido,1.0
debochado,ludibrioso,1.0
debochado,mofador,1.0
debochado,motejador,1.0
debochado,sarcástico,1.0
debochado,troçador,1.0
debochado,trocista,1.0
debochado,zombador,1.0
debochado,zombeirão,1.0
debochado,zombeteiro,1.0
