source,target,value
debochar,apodar,1.0
debochar,bexigar,1.0
debochar,bigodear,1.0
debochar,brincar,1.0
debochar,cachetar,1.0
debochar,caçoar,1.0
debochar,cafangar,1.0
debochar,chacotear,1.0
debochar,chalaçar,1.0
debochar,chalacear,1.0
debochar,chasquear,1.0
debochar,chocarrear,1.0
debochar,debicar,1.0
debochar,derriçar,1.0
debochar,desfruir,1.0
debochar,desfrutar,1.0
debochar,embromar,1.0
debochar,escarnecer,1.0
debochar,escarnir,1.0
debochar,facetear,1.0
debochar,galhofar,1.0
debochar,galhofear,1.0
debochar,gingar,1.0
debochar,gozar,1.0
debochar,gracejar,1.0
debochar,ironizar,1.0
debochar,malhar,1.0
debochar,mangar,1.0
debochar,mexer,1.0
debochar,mofar,1.0
debochar,motejar,1.0
debochar,pagodear,1.0
debochar,palhetar,1.0
debochar,palhetear,1.0
debochar,pantear,1.0
debochar,pilheriar,1.0
debochar,ridicularizar,1.0
debochar,ridiculizar,1.0
debochar,rir,1.0
debochar,satirizar,1.0
debochar,sorrir,1.0
debochar,sotaquear,1.0
debochar,toirear,1.0
debochar,tourear,1.0
debochar,troçar,1.0
debochar,trotar,1.0
debochar,trotear,1.0
debochar,vasconcear,1.0
debochar,zingrar,1.0
debochar,zombar,1.0
debochar,zombetear,1.0
debochar,apestar,1.0
debochar,contaminar,1.0
debochar,corromper,1.0
debochar,depravar,1.0
debochar,descaminhar,1.0
debochar,desencaminhar,1.0
debochar,desgarrar,1.0
debochar,desgovernar,1.0
debochar,desmoralizar,1.0
debochar,deturpar,1.0
debochar,devassar,1.0
debochar,empestar,1.0
debochar,empestear,1.0
debochar,esculhambar,1.0
debochar,extraviar,1.0
debochar,infeccionar,1.0
debochar,infecionar,1.0
debochar,infectar,1.0
debochar,infetar,1.0
debochar,inficionar,1.0
debochar,malignar,1.0
debochar,perverter,1.0
debochar,pestear,1.0
debochar,pestiferar,1.0
debochar,profligar,1.0
debochar,prostituir,1.0
debochar,subverter,1.0
debochar,ulcerar,1.0
debochar,viciar,1.0
