source,target,value
decretado,decretar,1.0
decretado,ler,1.0
decretado,proferir,1.0
decretado,publicar,1.0
decretado,assinalar,1.0
decretado,assinar,1.0
decretado,dar,1.0
decretado,decretar,1.0
decretado,demarcar,1.0
decretado,designar,1.0
decretado,determinar,1.0
decretado,dispor,1.0
decretado,ditar,1.0
decretado,estabelecer,1.0
decretado,fixar,1.0
decretado,impor,1.0
decretado,indicar,1.0
decretado,mandar,1.0
decretado,ordenar,1.0
decretado,preceituar,1.0
decretado,prescrever,1.0
decretado,sinalar,1.0
decretado,decretar,1.0
decretado,determinar,1.0
decretado,exigir,1.0
decretado,impor,1.0
decretado,mandar,1.0
decretado,ordenar,1.0
decretado,prescrever,1.0
decretado,querer,1.0
decretado,traçar,1.0
decretado,cominar,1.0
decretado,decretar,1.0
decretado,impor,1.0
decretado,infligir,1.0
decretado,irrogar,1.0
decretado,prescrever,1.0
