source,target,value
decrépito,caduco,1.0
decrépito,coroca,1.0
decrépito,curuca,1.0
decrépito,decaído,1.0
decrépito,gagá,1.0
decrépito,senil,1.0
decrépito,acabrunhado,1.0
decrépito,afracado,1.0
decrépito,alquebrado,1.0
decrépito,amachucado,1.0
decrépito,amarroado,1.0
decrépito,anemiado,1.0
decrépito,anêmico,1.0
decrépito,aniquilado,1.0
decrépito,atempado,1.0
decrépito,atenuado,1.0
decrépito,caído,1.0
decrépito,caiongo,1.0
decrépito,chocho,1.0
decrépito,combalido,1.0
decrépito,debilitado,1.0
decrépito,definhado,1.0
decrépito,depauperado,1.0
decrépito,descaído,1.0
decrépito,descangotado,1.0
decrépito,dessangrado,1.0
decrépito,desvitalizado,1.0
decrépito,elanguescido,1.0
decrépito,enerve,1.0
decrépito,enfracado,1.0
decrépito,enfraquecido,1.0
decrépito,enfraquentado,1.0
decrépito,enlanguescido,1.0
decrépito,extenuado,1.0
decrépito,froixo,1.0
decrépito,frouxo,1.0
decrépito,langoroso,1.0
decrépito,lânguido,1.0
decrépito,prostrado,1.0
decrépito,vigoroso,1.0
