source,target,value
desabrimento,aspereza,1.0
desabrimento,austeridade,1.0
desabrimento,desafabilidade,1.0
desabrimento,desamabilidade,1.0
desabrimento,dureza,1.0
desabrimento,estoicismo,1.0
desabrimento,indocilidade,1.0
desabrimento,recacho,1.0
desabrimento,rigidez,1.0
desabrimento,rigor,1.0
desabrimento,rispidez,1.0
desabrimento,rispideza,1.0
desabrimento,rudez,1.0
desabrimento,rudeza,1.0
desabrimento,afabilidade,1.0
desabrimento,amabilidade,1.0
desabrimento,blandícia,1.0
desabrimento,blandície,1.0
desabrimento,brandura,1.0
desabrimento,docilidade,1.0
desabrimento,doçura,1.0
desabrimento,dulçor,1.0
desabrimento,mansidão,1.0
desabrimento,meiguice,1.0
desabrimento,melifluidade,1.0
desabrimento,perfume,1.0
desabrimento,suavidade,1.0
