source,target,value
desadormentar,desentorpecer,1.0
desadormentar,destolher,1.0
desadormentar,adormentar,1.0
desadormentar,amortecer,1.0
desadormentar,amortificar,1.0
desadormentar,emortecer,1.0
desadormentar,entorpecer,1.0
desadormentar,torpecer,1.0
desadormentar,desadormecer,1.0
desadormentar,desmodorrar,1.0
desadormentar,despertar,1.0
desadormentar,despreguiçar,1.0
desadormentar,escordar,1.0
desadormentar,espertar,1.0
desadormentar,adormentar,1.0
desadormentar,adormir,1.0
desadormentar,descansar,1.0
desadormentar,dormir,1.0
desadormentar,sopitar,1.0
desadormentar,soporizar,1.0
