source,target,value
desafoguear,arrefecer,1.0
desafoguear,arrefentar,1.0
desafoguear,desaquecer,1.0
desafoguear,desencalmar,1.0
desafoguear,refecer,1.0
desafoguear,refrescar,1.0
desafoguear,encalmar,1.0
desafoguear,esquentar,1.0
desafoguear,descorar,1.0
desafoguear,desenrubescer,1.0
desafoguear,desmaiar,1.0
desafoguear,empalecer,1.0
desafoguear,empalidecer,1.0
desafoguear,enlividecer,1.0
desafoguear,abrasear,1.0
desafoguear,acarminar,1.0
desafoguear,afoguear,1.0
desafoguear,afrontar,1.0
desafoguear,avermelhar,1.0
desafoguear,carminar,1.0
desafoguear,corar,1.0
desafoguear,enrubescer,1.0
desafoguear,envermelhecer,1.0
desafoguear,erubescer,1.0
desafoguear,esbrasear,1.0
desafoguear,escandescer,1.0
desafoguear,esfoguear,1.0
desafoguear,foguear,1.0
desafoguear,incender,1.0
desafoguear,incendiar,1.0
desafoguear,inflamar,1.0
desafoguear,rosar,1.0
desafoguear,rosear,1.0
desafoguear,rubescer,1.0
desafoguear,rubificar,1.0
desafoguear,ruborescer,1.0
desafoguear,ruborizar,1.0
desafoguear,tauxiar,1.0
