source,target,value
desairoso,deselegante,1.0
desairoso,desonesto,1.0
desairoso,desonrado,1.0
desairoso,ímprobo,1.0
desairoso,indecente,1.0
desairoso,capaz,1.0
desairoso,correto,1.0
desairoso,decente,1.0
desairoso,decoroso,1.0
desairoso,digno,1.0
desairoso,direito,1.0
desairoso,honesto,1.0
desairoso,honrado,1.0
desairoso,íntegro,1.0
desairoso,probo,1.0
desairoso,pundonoroso,1.0
desairoso,reto,1.0
desairoso,sério,1.0
desairoso,desastrado,1.0
desairoso,deselegante,1.0
desairoso,desengraçado,1.0
desairoso,desgraciado,1.0
desairoso,desgracioso,1.0
desairoso,inelegante,1.0
desairoso,catita,1.0
desairoso,cortesão,1.0
desairoso,elegante,1.0
desairoso,esbelto,1.0
desairoso,garrido,1.0
desairoso,gracioso,1.0
desairoso,jeitoso,1.0
desairoso,lindo,1.0
