source,target,value
desamistar,desarmonizar,1.0
desamistar,desavir,1.0
desamistar,descombinar,1.0
desamistar,desconcertar,1.0
desamistar,desconciliar,1.0
desamistar,desentrosar,1.0
desamistar,dividir,1.0
desamistar,incompatibilizar,1.0
desamistar,indispor,1.0
desamistar,inimistar,1.0
desamistar,inimizar,1.0
desamistar,apaziguar,1.0
desamistar,avir,1.0
desamistar,benquistar,1.0
desamistar,compatibilizar,1.0
desamistar,compor,1.0
desamistar,concertar,1.0
desamistar,conciliar,1.0
desamistar,concordar,1.0
desamistar,conformar,1.0
desamistar,congraçar,1.0
desamistar,consociar,1.0
desamistar,dispor,1.0
desamistar,engraçar,1.0
desamistar,enlaçar,1.0
desamistar,entrosar,1.0
desamistar,harmonizar,1.0
desamistar,paziguar,1.0
desamistar,reaproximar,1.0
desamistar,recompor,1.0
desamistar,reconciliar,1.0
desamistar,recongraçar,1.0
desamistar,reunir,1.0
desamistar,sintonizar,1.0
desamistar,temperar,1.0
desamistar,unificar,1.0
desamistar,unir,1.0
