source,target,value
desaprovar,improbar,1.0
desaprovar,aprovar,1.0
desaprovar,confirmar,1.0
desaprovar,desadorar,1.0
desaprovar,enjeitar,1.0
desaprovar,improbar,1.0
desaprovar,improvar,1.0
desaprovar,refutar,1.0
desaprovar,reprovar,1.0
desaprovar,autorizar,1.0
desaprovar,consagrar,1.0
desaprovar,placitar,1.0
desaprovar,ratificar,1.0
desaprovar,sancionar,1.0
desaprovar,subscrever,1.0
desaprovar,improbar,1.0
desaprovar,apoiar,1.0
desaprovar,aprovar,1.0
desaprovar,elogiar,1.0
desaprovar,festejar,1.0
desaprovar,laurear,1.0
desaprovar,louvar,1.0
desaprovar,plaudir,1.0
