source,target,value
desassisar,desatinar,1.0
desassisar,desatremar,1.0
desassisar,descarrilar,1.0
desassisar,descarrilhar,1.0
desassisar,descerebrar,1.0
desassisar,desencarrilar,1.0
desassisar,desencarrilhar,1.0
desassisar,desjuizar,1.0
desassisar,desmiolar,1.0
desassisar,despropositar,1.0
desassisar,adoudar,1.0
desassisar,alienar,1.0
desassisar,aloucar,1.0
desassisar,alucinar,1.0
desassisar,desatinar,1.0
desassisar,desmiolar,1.0
desassisar,desvairar,1.0
desassisar,desvariar,1.0
desassisar,embebedar,1.0
desassisar,endoidar,1.0
desassisar,endoidecer,1.0
desassisar,endoudar,1.0
desassisar,enloucar,1.0
desassisar,enlouquecer,1.0
desassisar,ensandecer,1.0
desassisar,girar,1.0
desassisar,perturbar,1.0
desassisar,soçobrar,1.0
desassisar,desensandecer,1.0
