source,target,value
descansar,arrimar,1.0
descansar,encostar,1.0
descansar,escorar,1.0
descansar,desarrimar,1.0
descansar,descostar,1.0
descansar,desencostar,1.0
descansar,adormentar,1.0
descansar,adormir,1.0
descansar,dormir,1.0
descansar,sopitar,1.0
descansar,desadormecer,1.0
descansar,desadormentar,1.0
descansar,desmodorrar,1.0
descansar,despertar,1.0
descansar,despreguiçar,1.0
descansar,escordar,1.0
descansar,espertar,1.0
descansar,espreguiçar,1.0
descansar,domir,1.0
descansar,repoisar,1.0
descansar,repousar,1.0
descansar,ressonar,1.0
descansar,jazer,1.0
descansar,repoisar,1.0
descansar,repousar,1.0
