source,target,value
desconchavar,conchavar,1.0
desconchavar,encaixar,1.0
desconchavar,desajoujar,1.0
desconchavar,desamarrar,1.0
desconchavar,desatar,1.0
desconchavar,desatracar,1.0
desconchavar,desenvencilhar,1.0
desconchavar,desligar,1.0
desconchavar,desprender,1.0
desconchavar,desvencilhar,1.0
desconchavar,desvincilhar,1.0
desconchavar,amarrar,1.0
desconchavar,atar,1.0
desconchavar,embirar,1.0
desconchavar,enlaçar,1.0
desconchavar,envencilhar,1.0
desconchavar,jungir,1.0
desconchavar,liar,1.0
desconchavar,ligar,1.0
desconchavar,prender,1.0
desconchavar,unir,1.0
