source,target,value
desconjuntar,desfazer,1.0
desconjuntar,desmanchar,1.0
desconjuntar,desmantelar,1.0
desconjuntar,escangalhar,1.0
desconjuntar,escorchar,1.0
desconjuntar,esfazer,1.0
desconjuntar,apartar,1.0
desconjuntar,departir,1.0
desconjuntar,desajuntar,1.0
desconjuntar,desajustar,1.0
desconjuntar,desapartar,1.0
desconjuntar,despegar,1.0
desconjuntar,despregar,1.0
desconjuntar,destacar,1.0
desconjuntar,desunir,1.0
desconjuntar,dividir,1.0
desconjuntar,estremar,1.0
desconjuntar,aproximar,1.0
desconjuntar,conjugar,1.0
desconjuntar,juntar,1.0
desconjuntar,reunir,1.0
desconjuntar,soldar,1.0
desconjuntar,unir,1.0
desconjuntar,descanhotar,1.0
desconjuntar,deslocar,1.0
desconjuntar,desmentir,1.0
desconjuntar,desnocar,1.0
desconjuntar,destroncar,1.0
desconjuntar,esnocar,1.0
desconjuntar,estroncar,1.0
desconjuntar,exarticular,1.0
desconjuntar,luxar,1.0
desconjuntar,recalcar,1.0
