source,target,value
desconsertado,apodrecer,1.0
desconsertado,arruinar,1.0
desconsertado,assolapar,1.0
desconsertado,avariar,1.0
desconsertado,combalir,1.0
desconsertado,danar,1.0
desconsertado,danificar,1.0
desconsertado,daninhar,1.0
desconsertado,desconsertar,1.0
desconsertado,desmelhorar,1.0
desconsertado,deteriorar,1.0
desconsertado,escalavrar,1.0
desconsertado,estragar,1.0
desconsertado,estrompar,1.0
desconsertado,gastar,1.0
desconsertado,inutilizar,1.0
desconsertado,maleficiar,1.0
desconsertado,maltratar,1.0
desconsertado,minar,1.0
desconsertado,molestar,1.0
desconsertado,prejudicar,1.0
desconsertado,solapar,1.0
desconsertado,arrumar,1.0
desconsertado,beneficiar,1.0
desconsertado,consertar,1.0
desconsertado,recompor,1.0
desconsertado,recuperar,1.0
desconsertado,refazer,1.0
desconsertado,reformar,1.0
desconsertado,regenerar,1.0
desconsertado,remontar,1.0
desconsertado,renovar,1.0
desconsertado,reparar,1.0
desconsertado,restabelecer,1.0
desconsertado,restaurar,1.0
