source,target,value
descortesia,desatenção,1.0
descortesia,desconsideração,1.0
descortesia,atenção,1.0
descortesia,benevolência,1.0
descortesia,consideração,1.0
descortesia,contemplação,1.0
descortesia,cortesia,1.0
descortesia,hospitalidade,1.0
descortesia,desamabilidade,1.0
descortesia,grossaria,1.0
descortesia,grosseria,1.0
descortesia,impolidez,1.0
descortesia,indelicadeza,1.0
descortesia,má-criação,1.0
descortesia,malcriadez,1.0
descortesia,rudez,1.0
descortesia,amabilidade,1.0
descortesia,cortesia,1.0
descortesia,delicadeza,1.0
descortesia,lhaneza,1.0
descortesia,trato,1.0
