source,target,value
descortinado,deparar,1.0
descortinado,descobrir,1.0
descortinado,descortinar,1.0
descortinado,desencobrir,1.0
descortinado,distinguir,1.0
descortinado,divisar,1.0
descortinado,enxergar,1.0
descortinado,penetrar,1.0
descortinado,perceber,1.0
descortinado,ver,1.0
descortinado,dar,1.0
descortinado,descobrir,1.0
descortinado,descortinar,1.0
descortinado,desencobrir,1.0
descortinado,encontrar,1.0
descortinado,notar,1.0
descortinado,perceber,1.0
descortinado,delatar,1.0
descortinado,descerrar,1.0
descortinado,descobrir,1.0
descortinado,descortinar,1.0
descortinado,desembuçar,1.0
descortinado,desencerrar,1.0
descortinado,desencobrir,1.0
descortinado,desenterrar,1.0
descortinado,dessoterrar,1.0
descortinado,desvelar,1.0
descortinado,desvendar,1.0
descortinado,evidenciar,1.0
descortinado,expirar,1.0
descortinado,expor,1.0
descortinado,franquear,1.0
descortinado,mostrar,1.0
descortinado,palrar,1.0
descortinado,palrear,1.0
descortinado,passar,1.0
descortinado,patentear,1.0
descortinado,patentizar,1.0
descortinado,respirar,1.0
descortinado,acafelar,1.0
descortinado,acobertar,1.0
descortinado,amofumbar,1.0
descortinado,contrafazer,1.0
descortinado,disfarçar,1.0
descortinado,dissimular,1.0
descortinado,emascarar,1.0
descortinado,embuçar,1.0
descortinado,empanar,1.0
descortinado,encobertar,1.0
descortinado,encobrir,1.0
descortinado,mascarar,1.0
descortinado,ocultar,1.0
descortinado,paliar,1.0
descortinado,rebuçar,1.0
descortinado,reprimir,1.0
descortinado,sufocar,1.0
descortinado,velar,1.0
descortinado,apalpar,1.0
descortinado,aprofundar,1.0
descortinado,correr,1.0
descortinado,descortinar,1.0
descortinado,desfibrar,1.0
descortinado,desmiuçar,1.0
descortinado,despiolhar,1.0
descortinado,devassar,1.0
descortinado,escabichar,1.0
descortinado,escarafunchar,1.0
descortinado,escrutar,1.0
descortinado,esmerilar,1.0
descortinado,esmerilhar,1.0
descortinado,esmiuçar,1.0
descortinado,esmiudar,1.0
descortinado,espiolhar,1.0
descortinado,esquadrinhar,1.0
descortinado,examinar,1.0
descortinado,explorar,1.0
descortinado,farejar,1.0
descortinado,investigar,1.0
descortinado,lustrar,1.0
descortinado,miudear,1.0
descortinado,palpitar,1.0
descortinado,percorrer,1.0
descortinado,perquirir,1.0
descortinado,perscrutar,1.0
descortinado,profundar,1.0
descortinado,rastejar,1.0
descortinado,rastrear,1.0
descortinado,recorrer,1.0
descortinado,sondar,1.0
descortinado,tentear,1.0
descortinado,vasculhar,1.0
descortinado,ver,1.0
