source,target,value
descortinar,deparar,1.0
descortinar,descobrir,1.0
descortinar,desencobrir,1.0
descortinar,distinguir,1.0
descortinar,divisar,1.0
descortinar,enxergar,1.0
descortinar,penetrar,1.0
descortinar,perceber,1.0
descortinar,ver,1.0
descortinar,dar,1.0
descortinar,descobrir,1.0
descortinar,desencobrir,1.0
descortinar,encontrar,1.0
descortinar,notar,1.0
descortinar,perceber,1.0
descortinar,delatar,1.0
descortinar,descerrar,1.0
descortinar,descobrir,1.0
descortinar,desembuçar,1.0
descortinar,desencerrar,1.0
descortinar,desencobrir,1.0
descortinar,desenterrar,1.0
descortinar,dessoterrar,1.0
descortinar,desvelar,1.0
descortinar,desvendar,1.0
descortinar,evidenciar,1.0
descortinar,expirar,1.0
descortinar,expor,1.0
descortinar,franquear,1.0
descortinar,mostrar,1.0
descortinar,palrar,1.0
descortinar,palrear,1.0
descortinar,passar,1.0
descortinar,patentear,1.0
descortinar,patentizar,1.0
descortinar,respirar,1.0
descortinar,acafelar,1.0
descortinar,acobertar,1.0
descortinar,amofumbar,1.0
descortinar,contrafazer,1.0
descortinar,disfarçar,1.0
descortinar,dissimular,1.0
descortinar,emascarar,1.0
descortinar,embuçar,1.0
descortinar,empanar,1.0
descortinar,encobertar,1.0
descortinar,encobrir,1.0
descortinar,mascarar,1.0
descortinar,ocultar,1.0
descortinar,paliar,1.0
descortinar,rebuçar,1.0
descortinar,reprimir,1.0
descortinar,sufocar,1.0
descortinar,velar,1.0
descortinar,apalpar,1.0
descortinar,aprofundar,1.0
descortinar,correr,1.0
descortinar,desfibrar,1.0
descortinar,desmiuçar,1.0
descortinar,despiolhar,1.0
descortinar,devassar,1.0
descortinar,escabichar,1.0
descortinar,escarafunchar,1.0
descortinar,escrutar,1.0
descortinar,esmerilar,1.0
descortinar,esmerilhar,1.0
descortinar,esmiuçar,1.0
descortinar,esmiudar,1.0
descortinar,espiolhar,1.0
descortinar,esquadrinhar,1.0
descortinar,examinar,1.0
descortinar,explorar,1.0
descortinar,farejar,1.0
descortinar,investigar,1.0
descortinar,lustrar,1.0
descortinar,miudear,1.0
descortinar,palpitar,1.0
descortinar,percorrer,1.0
descortinar,perquirir,1.0
descortinar,perscrutar,1.0
descortinar,profundar,1.0
descortinar,rastejar,1.0
descortinar,rastrear,1.0
descortinar,recorrer,1.0
descortinar,sondar,1.0
descortinar,tentear,1.0
descortinar,vasculhar,1.0
descortinar,ver,1.0
