source,target,value
desempachar,aplainar,1.0
desempachar,aplanar,1.0
desempachar,desalagar,1.0
desempachar,desbloquear,1.0
desempachar,descongestionar,1.0
desempachar,desembaraçar,1.0
desempachar,desencalhar,1.0
desempachar,desentaipar,1.0
desempachar,desentravar,1.0
desempachar,desentulhar,1.0
desempachar,desentupir,1.0
desempachar,desestorvar,1.0
desempachar,desimpedir,1.0
desempachar,desobstruir,1.0
desempachar,despejar,1.0
desempachar,laxar,1.0
desempachar,livrar,1.0
desempachar,abarreirar,1.0
desempachar,abarrocar,1.0
desempachar,apejar,1.0
desempachar,atochar,1.0
desempachar,atrancar,1.0
desempachar,atranqueirar,1.0
desempachar,atrapachar,1.0
desempachar,atravancar,1.0
desempachar,barrar,1.0
desempachar,bloquear,1.0
desempachar,congestionar,1.0
desempachar,cortar,1.0
desempachar,dificultar,1.0
desempachar,embaraçar,1.0
desempachar,embargar,1.0
desempachar,empachar,1.0
desempachar,empancar,1.0
desempachar,engarrafar,1.0
desempachar,entravar,1.0
desempachar,entupir,1.0
desempachar,estorvar,1.0
desempachar,fechar,1.0
desempachar,impedir,1.0
desempachar,ingurgitar,1.0
desempachar,obstar,1.0
desempachar,obstruir,1.0
desempachar,obturar,1.0
desempachar,pejar,1.0
desempachar,tapar,1.0
desempachar,tolher,1.0
desempachar,tomar,1.0
desempachar,travar,1.0
