source,target,value
desengrandecer,depreciar,1.0
desengrandecer,desenobrecer,1.0
desengrandecer,desgabar,1.0
desengrandecer,deslustrar,1.0
desengrandecer,desnobrecer,1.0
desengrandecer,desprestigiar,1.0
desengrandecer,desprimorar,1.0
desengrandecer,desvirtuar,1.0
desengrandecer,inferiorizar,1.0
desengrandecer,cantar,1.0
desengrandecer,consagrar,1.0
desengrandecer,divinizar,1.0
desengrandecer,elevar,1.0
desengrandecer,enaltar,1.0
desengrandecer,enaltecer,1.0
desengrandecer,encumear,1.0
desengrandecer,engrandecer,1.0
desengrandecer,enobrecer,1.0
desengrandecer,exalçar,1.0
desengrandecer,exaltar,1.0
desengrandecer,extremar,1.0
desengrandecer,heroificar,1.0
desengrandecer,levantar,1.0
desengrandecer,sobalçar,1.0
desengrandecer,soberanizar,1.0
desengrandecer,sobredoirar,1.0
desengrandecer,sobredourar,1.0
desengrandecer,sublimar,1.0
