source,target,value
desengravitar,acurvar,1.0
desengravitar,alcachinar,1.0
desengravitar,alcorcovar,1.0
desengravitar,alquebrar,1.0
desengravitar,arquear,1.0
desengravitar,avergar,1.0
desengravitar,cimbrar,1.0
desengravitar,corcovar,1.0
desengravitar,curvar,1.0
desengravitar,dobrar,1.0
desengravitar,encurvar,1.0
desengravitar,entortar,1.0
desengravitar,envergar,1.0
desengravitar,recurvar,1.0
desengravitar,torcer,1.0
desengravitar,tornejar,1.0
desengravitar,descurvar,1.0
desengravitar,desencurvar,1.0
desengravitar,desentortar,1.0
desengravitar,desenvergar,1.0
desengravitar,endireitar,1.0
