source,target,value
desenlaçar,descobrir,1.0
desenlaçar,desembaraçar,1.0
desenlaçar,desembrulhar,1.0
desenlaçar,desencobrir,1.0
desenlaçar,desenredar,1.0
desenlaçar,desenvencilhar,1.0
desenlaçar,deslaçar,1.0
desenlaçar,deslindar,1.0
desenlaçar,destrinçar,1.0
desenlaçar,destrinchar,1.0
desenlaçar,desvencilhar,1.0
desenlaçar,desvincilhar,1.0
desenlaçar,esclarecer,1.0
desenlaçar,estriçar,1.0
desenlaçar,resolver,1.0
desenlaçar,solucionar,1.0
desenlaçar,desentrançar,1.0
desenlaçar,deslaçar,1.0
desenlaçar,encanastrar,1.0
desenlaçar,entrançar,1.0
desenlaçar,entrecruzar,1.0
desenlaçar,entrelaçar,1.0
desenlaçar,entretecer,1.0
desenlaçar,entrezar,1.0
desenlaçar,interlaçar,1.0
desenlaçar,intertecer,1.0
desenlaçar,trançar,1.0
desenlaçar,travar,1.0
