source,target,value
desescurecer,aclarecer,1.0
desescurecer,agaloar,1.0
desescurecer,alumbrar,1.0
desescurecer,alumiar,1.0
desescurecer,clarear,1.0
desescurecer,desenegrecer,1.0
desescurecer,desentenebrecer,1.0
desescurecer,elogiar,1.0
desescurecer,enaltar,1.0
desescurecer,enaltecer,1.0
desescurecer,esclarecer,1.0
desescurecer,gabar,1.0
desescurecer,galonar,1.0
desescurecer,iluminar,1.0
desescurecer,assetar,1.0
desescurecer,assetear,1.0
desescurecer,caluniar,1.0
desescurecer,demolir,1.0
desescurecer,denegrecer,1.0
desescurecer,denegrir,1.0
desescurecer,desacreditar,1.0
desescurecer,desafamar,1.0
desescurecer,desagaloar,1.0
desescurecer,desclassificar,1.0
desescurecer,descreditar,1.0
desescurecer,desdoirar,1.0
desescurecer,desdourar,1.0
desescurecer,deslustrar,1.0
desescurecer,desmerecer,1.0
desescurecer,desmoralizar,1.0
desescurecer,desonestar,1.0
desescurecer,desonrar,1.0
desescurecer,detrair,1.0
desescurecer,detratar,1.0
desescurecer,difamar,1.0
desescurecer,enegrecer,1.0
desescurecer,esquartejar,1.0
desescurecer,improperar,1.0
desescurecer,infamar,1.0
desescurecer,injuriar,1.0
desescurecer,macular,1.0
desescurecer,marear,1.0
desescurecer,quartejar,1.0
desescurecer,rebaixar,1.0
desescurecer,setear,1.0
desescurecer,vituperar,1.0
