source,target,value
desfavorável,impropício,1.0
desfavorável,favorável,1.0
desfavorável,propício,1.0
desfavorável,próspero,1.0
desfavorável,antipático,1.0
desfavorável,averso,1.0
desfavorável,avessado,1.0
desfavorável,contrário,1.0
desfavorável,desafeiçoado,1.0
desfavorável,desafeto,1.0
desfavorável,hostil,1.0
desfavorável,infavorável,1.0
desfavorável,infenso,1.0
desfavorável,infesto,1.0
desfavorável,inimigo,1.0
desfavorável,oposto,1.0
desfavorável,desoportuno,1.0
desfavorável,impropício,1.0
desfavorável,inadequado,1.0
desfavorável,infavorável,1.0
desfavorável,adequado,1.0
desfavorável,apropriado,1.0
desfavorável,azado,1.0
desfavorável,cômodo,1.0
desfavorável,favorável,1.0
desfavorável,idôneo,1.0
desfavorável,oportuno,1.0
desfavorável,propício,1.0
