source,target,value
desferir,brandir,1.0
desferir,esgrimir,1.0
desferir,sacudir,1.0
desferir,vibrar,1.0
desferir,desfraldar,1.0
desferir,esfraldar,1.0
desferir,largar,1.0
desferir,soltar,1.0
desferir,desengatilhar,1.0
desferir,desfechar,1.0
desferir,desfrechar,1.0
desferir,despedir,1.0
desferir,disparar,1.0
desferir,sapecar,1.0
desferir,soltar,1.0
desferir,assentar,1.0
desferir,cascar,1.0
desferir,cavilhar,1.0
desferir,dar,1.0
desferir,embutir,1.0
desferir,encavilhar,1.0
desferir,impingir,1.0
desferir,lascar,1.0
desferir,pespegar,1.0
desferir,pregar,1.0
