source,target,value
desformar,desfigurar,1.0
desformar,deturpar,1.0
desformar,disformar,1.0
desformar,alterar,1.0
desformar,decompor,1.0
desformar,deformar,1.0
desformar,demudar,1.0
desformar,desajeitar,1.0
desformar,modificar,1.0
desformar,mudar,1.0
desformar,transfazer,1.0
desformar,transformar,1.0
desformar,transmudar,1.0
desformar,transmutar,1.0
desformar,desajeitar,1.0
desformar,amodelar,1.0
desformar,amoldar,1.0
desformar,calcar,1.0
desformar,emoldar,1.0
desformar,esculpir,1.0
desformar,formar,1.0
desformar,modelar,1.0
desformar,moldar,1.0
desformar,plasmar,1.0
