source,target,value
desincorporar,desencarnar,1.0
desincorporar,corporificar,1.0
desincorporar,encarnar,1.0
desincorporar,incorporar,1.0
desincorporar,materializar,1.0
desincorporar,agregar,1.0
desincorporar,agrupar,1.0
desincorporar,anexar,1.0
desincorporar,apender,1.0
desincorporar,apensar,1.0
desincorporar,apor,1.0
desincorporar,combinar,1.0
desincorporar,grupar,1.0
desincorporar,incorporar,1.0
desincorporar,integralizar,1.0
desincorporar,integrar,1.0
desincorporar,juntar,1.0
desincorporar,reunir,1.0
desincorporar,suplementar,1.0
desincorporar,unir,1.0
