source,target,value
desintumescer,desengrossar,1.0
desintumescer,desentumecer,1.0
desintumescer,desinchar,1.0
desintumescer,desinflar,1.0
desintumescer,detumescer,1.0
desintumescer,esvazar,1.0
desintumescer,esvaziar,1.0
desintumescer,apojar,1.0
desintumescer,atufar,1.0
desintumescer,avolumar,1.0
desintumescer,bojar,1.0
desintumescer,crescer,1.0
desintumescer,encher,1.0
desintumescer,enfunar,1.0
desintumescer,entufar,1.0
desintumescer,estufar,1.0
desintumescer,inchar,1.0
desintumescer,inflar,1.0
desintumescer,intumescer,1.0
desintumescer,inturgescer,1.0
desintumescer,opar,1.0
desintumescer,pojar,1.0
desintumescer,tufar,1.0
desintumescer,tumefazer,1.0
desintumescer,tumeficar,1.0
desintumescer,tumescer,1.0
desintumescer,turgescer,1.0
desintumescer,volumar,1.0
