source,target,value
desnublado,claro,1.0
desnublado,desanuviado,1.0
desnublado,destoldado,1.0
desnublado,escampado,1.0
desnublado,escampo,1.0
desnublado,límpido,1.0
desnublado,limpo,1.0
desnublado,cerrado,1.0
desnublado,fechado,1.0
desnublado,claro,1.0
desnublado,desanuviado,1.0
desnublado,destoldado,1.0
desnublado,escampado,1.0
desnublado,escampo,1.0
desnublado,inube,1.0
desnublado,inubo,1.0
desnublado,límpido,1.0
desnublado,limpo,1.0
desnublado,encarrancado,1.0
desnublado,encoberto,1.0
desnublado,enevoado,1.0
desnublado,nebulado,1.0
desnublado,nublado,1.0
desnublado,nubloso,1.0
desnublado,nuvioso,1.0
desnublado,obumbrado,1.0
desnublado,toldado,1.0
desnublado,turvo,1.0
