source,target,value
desobumbrar,descobrir,1.0
desobumbrar,desenfuscar,1.0
desobumbrar,desenlutar,1.0
desobumbrar,desensombrar,1.0
desobumbrar,desobscurecer,1.0
desobumbrar,assombrear,1.0
desobumbrar,eclipsar,1.0
desobumbrar,empecer,1.0
desobumbrar,encobrir,1.0
desobumbrar,enegrecer,1.0
desobumbrar,enfuscar,1.0
desobumbrar,enlutar,1.0
desobumbrar,enoitecer,1.0
desobumbrar,ensombrar,1.0
desobumbrar,ensombrecer,1.0
desobumbrar,entenebrecer,1.0
desobumbrar,entrevar,1.0
desobumbrar,entrevecer,1.0
desobumbrar,enturbar,1.0
desobumbrar,enturvar,1.0
desobumbrar,escurecer,1.0
desobumbrar,escurentar,1.0
desobumbrar,obnubilar,1.0
desobumbrar,obscurecer,1.0
desobumbrar,obumbrar,1.0
desobumbrar,ofuscar,1.0
desobumbrar,sombrear,1.0
desobumbrar,sombrejar,1.0
desobumbrar,toldar,1.0
