source,target,value
desprezível,desprezável,1.0
desprezível,menosprezível,1.0
desprezível,menosprezivo,1.0
desprezível,ananicado,1.0
desprezível,asqueroso,1.0
desprezível,à-toa,1.0
desprezível,baixo,1.0
desprezível,biltre,1.0
desprezível,calhorda,1.0
desprezível,contemptível,1.0
desprezível,desclassificado,1.0
desprezível,desprezável,1.0
desprezível,fúfio,1.0
desprezível,ignóbil,1.0
desprezível,ignominioso,1.0
desprezível,indigno,1.0
desprezível,infame,1.0
desprezível,miserável,1.0
desprezível,mísero,1.0
desprezível,ordinário,1.0
desprezível,pífio,1.0
desprezível,pulha,1.0
desprezível,refece,1.0
desprezível,reles,1.0
desprezível,soez,1.0
desprezível,somenos,1.0
desprezível,sórdido,1.0
desprezível,torpe,1.0
desprezível,vil,1.0
desprezível,vilão,1.0
