source,target,value
destemor,desassombro,1.0
destemor,desembaraço,1.0
destemor,intrepidez,1.0
destemor,impudência,1.0
destemor,impudor,1.0
destemor,pejo,1.0
destemor,pudor,1.0
destemor,rubidez,1.0
destemor,rubor,1.0
destemor,verecúndia,1.0
destemor,vergonha,1.0
destemor,afouteza,1.0
destemor,ardidez,1.0
destemor,ardideza,1.0
destemor,ardimento,1.0
destemor,coragem,1.0
destemor,foiteza,1.0
destemor,impavidez,1.0
destemor,intrepidez,1.0
destemor,medo,1.0
destemor,pânico,1.0
destemor,pavor,1.0
destemor,temor,1.0
destemor,terror,1.0
