source,target,value
destruir,gastar,1.0
destruir,anarquizar,1.0
destruir,atumultar,1.0
destruir,atumultuar,1.0
destruir,desacomodar,1.0
destruir,desaconchegar,1.0
destruir,desajeitar,1.0
destruir,desalinhar,1.0
destruir,desamanhar,1.0
destruir,desarar,1.0
destruir,desarranjar,1.0
destruir,desarrumar,1.0
destruir,descompor,1.0
destruir,desconcertar,1.0
destruir,desconchegar,1.0
destruir,descontrolar,1.0
destruir,desestruturar,1.0
destruir,desmanchar,1.0
destruir,desordenar,1.0
destruir,desorganizar,1.0
destruir,destemperar,1.0
destruir,perturbar,1.0
destruir,acondicionar,1.0
destruir,ajeitar,1.0
destruir,arranjar,1.0
destruir,arrumar,1.0
destruir,compor,1.0
destruir,confeccionar,1.0
destruir,corrigir,1.0
destruir,dispor,1.0
destruir,distribuir,1.0
destruir,elaborar,1.0
destruir,entroixar,1.0
destruir,entrouxar,1.0
destruir,estruturar,1.0
destruir,ordenar,1.0
destruir,organizar,1.0
destruir,ajarretar,1.0
destruir,amortalhar,1.0
destruir,aniquilar,1.0
destruir,assassinar,1.0
destruir,desfolhar,1.0
destruir,enterrar,1.0
destruir,esfarelar,1.0
destruir,esfarinhar,1.0
destruir,esfolhar,1.0
destruir,exterminar,1.0
destruir,extinguir,1.0
destruir,jarretar,1.0
destruir,matar,1.0
destruir,pulverizar,1.0
destruir,bromar,1.0
destruir,carcomer,1.0
destruir,comer,1.0
destruir,consumir,1.0
destruir,corroer,1.0
destruir,desgastar,1.0
destruir,destroçar,1.0
destruir,devorar,1.0
destruir,disperder,1.0
destruir,erodir,1.0
destruir,erosar,1.0
destruir,estragar,1.0
destruir,estroçar,1.0
destruir,gastar,1.0
destruir,minar,1.0
destruir,morder,1.0
destruir,rafar,1.0
destruir,roer,1.0
destruir,solinhar,1.0
destruir,traçar,1.0
