source,target,value
devorado,bromar,1.0
devorado,carcomer,1.0
devorado,comer,1.0
devorado,consumir,1.0
devorado,corroer,1.0
devorado,desgastar,1.0
devorado,destroçar,1.0
devorado,destruir,1.0
devorado,devorar,1.0
devorado,disperder,1.0
devorado,erodir,1.0
devorado,erosar,1.0
devorado,estragar,1.0
devorado,estroçar,1.0
devorado,gastar,1.0
devorado,minar,1.0
devorado,morder,1.0
devorado,rafar,1.0
devorado,roer,1.0
devorado,solinhar,1.0
devorado,traçar,1.0
devorado,devorar,1.0
devorado,abocar,1.0
devorado,bocar,1.0
devorado,comer,1.0
devorado,devorar,1.0
devorado,engolir,1.0
devorado,ingurgitar,1.0
devorado,tragar,1.0
devorado,trincar,1.0
devorado,afligir,1.0
devorado,agoniar,1.0
devorado,agonizar,1.0
devorado,alancear,1.0
devorado,amarar,1.0
devorado,amargar,1.0
devorado,amargurar,1.0
devorado,angustiar,1.0
devorado,apertar,1.0
devorado,apuar,1.0
devorado,atenazar,1.0
devorado,atribular,1.0
devorado,consumir,1.0
devorado,desesperar,1.0
devorado,desgostar,1.0
devorado,devorar,1.0
devorado,fraguar,1.0
devorado,mortificar,1.0
devorado,desagoniar,1.0
devorado,desangustiar,1.0
devorado,desapertar,1.0
devorado,desmortificar,1.0
