source,target,value
difundir,derramar,1.0
difundir,despargir,1.0
difundir,desparzir,1.0
difundir,entornar,1.0
difundir,espalhar,1.0
difundir,espargir,1.0
difundir,esparzir,1.0
difundir,lançar,1.0
difundir,transfundir,1.0
difundir,verter,1.0
difundir,espalhar,1.0
difundir,esparralhar,1.0
difundir,esparramar,1.0
difundir,conglobar,1.0
difundir,juntar,1.0
difundir,rebanhar,1.0
difundir,reunir,1.0
difundir,desparzir,1.0
difundir,emanar,1.0
difundir,emitir,1.0
difundir,espalhar,1.0
difundir,espargir,1.0
difundir,esparzir,1.0
difundir,irradiar,1.0
difundir,lançar,1.0
difundir,luzir,1.0
difundir,radiar,1.0
difundir,raiar,1.0
difundir,assoalhar,1.0
difundir,dar,1.0
difundir,derramar,1.0
difundir,dessegredar,1.0
difundir,dilatar,1.0
difundir,disseminar,1.0
difundir,divulgar,1.0
difundir,espalhar,1.0
difundir,expandir,1.0
difundir,generalizar,1.0
difundir,irradiar,1.0
difundir,noticiar,1.0
difundir,passear,1.0
difundir,popularizar,1.0
difundir,preconizar,1.0
difundir,pregoar,1.0
difundir,proclamar,1.0
difundir,professar,1.0
difundir,promulgar,1.0
difundir,propagar,1.0
difundir,propalar,1.0
difundir,publicar,1.0
difundir,soalhar,1.0
difundir,solhar,1.0
difundir,soprar,1.0
difundir,universalizar,1.0
difundir,veicular,1.0
difundir,vulgar,1.0
difundir,vulgarizar,1.0
difundir,segredar,1.0
