source,target,value
diligente,assíduo,1.0
diligente,atento,1.0
diligente,esforçado,1.0
diligente,ágil,1.0
diligente,ativo,1.0
diligente,desembaraçado,1.0
diligente,desempenado,1.0
diligente,despachado,1.0
diligente,destro,1.0
diligente,expeditivo,1.0
diligente,expedito,1.0
diligente,lesto,1.0
diligente,agencioso,1.0
diligente,ativo,1.0
diligente,atuoso,1.0
diligente,cuidadeiro,1.0
diligente,disposto,1.0
diligente,laborioso,1.0
diligente,operoso,1.0
diligente,madraço,1.0
diligente,mandrião,1.0
diligente,ocioso,1.0
diligente,preguiceiro,1.0
diligente,preguiçoso,1.0
diligente,cuidadoso,1.0
diligente,cuidoso,1.0
diligente,curioso,1.0
diligente,desvelado,1.0
diligente,solícito,1.0
diligente,vigiante,1.0
diligente,vigilante,1.0
diligente,zeloso,1.0
