source,target,value
direito,sinistro,1.0
direito,arrecto,1.0
direito,empertigado,1.0
direito,erecto,1.0
direito,ereto,1.0
direito,teso,1.0
direito,liso,1.0
direito,enjambrado,1.0
direito,capaz,1.0
direito,correto,1.0
direito,decente,1.0
direito,decoroso,1.0
direito,digno,1.0
direito,honesto,1.0
direito,honrado,1.0
direito,íntegro,1.0
direito,probo,1.0
direito,pundonoroso,1.0
direito,reto,1.0
direito,desairoso,1.0
direito,deselegante,1.0
direito,desonesto,1.0
direito,desonrado,1.0
direito,ímprobo,1.0
direito,indecente,1.0
direito,indecoroso,1.0
