source,target,value
dispersado,disperso,1.0
dispersado,espalhado,1.0
dispersado,aglomerado,1.0
dispersado,ajuntado,1.0
dispersado,coadunado,1.0
dispersado,junto,1.0
dispersado,reunido,1.0
dispersado,disperso,1.0
dispersado,espalhado,1.0
dispersado,acumulado,1.0
dispersado,aglomerado,1.0
dispersado,amontoado,1.0
dispersado,apinhado,1.0
dispersado,coacervado,1.0
dispersado,empilhado,1.0
dispersado,encastelado,1.0
dispersado,abagunçado,1.0
dispersado,anárquico,1.0
dispersado,anarquizado,1.0
dispersado,atrapalhado,1.0
dispersado,babélico,1.0
dispersado,bagunçado,1.0
dispersado,caótico,1.0
dispersado,confuso,1.0
dispersado,desarranjado,1.0
dispersado,desarrumado,1.0
dispersado,descomposto,1.0
dispersado,desordenado,1.0
dispersado,desorganizado,1.0
dispersado,arranjado,1.0
dispersado,arrumado,1.0
dispersado,ordenado,1.0
dispersado,organizado,1.0
