source,target,value
disperso,espalhado,1.0
disperso,aglomerado,1.0
disperso,ajuntado,1.0
disperso,coadunado,1.0
disperso,junto,1.0
disperso,reunido,1.0
disperso,espalhado,1.0
disperso,acumulado,1.0
disperso,aglomerado,1.0
disperso,amontoado,1.0
disperso,apinhado,1.0
disperso,coacervado,1.0
disperso,empilhado,1.0
disperso,encastelado,1.0
disperso,abagunçado,1.0
disperso,anárquico,1.0
disperso,anarquizado,1.0
disperso,atrapalhado,1.0
disperso,babélico,1.0
disperso,bagunçado,1.0
disperso,caótico,1.0
disperso,confuso,1.0
disperso,desarranjado,1.0
disperso,desarrumado,1.0
disperso,descomposto,1.0
disperso,desordenado,1.0
disperso,desorganizado,1.0
disperso,dispersado,1.0
disperso,arranjado,1.0
disperso,arrumado,1.0
disperso,ordenado,1.0
disperso,organizado,1.0
disperso,destroçado,1.0
disperso,dispersado,1.0
disperso,estroçado,1.0
