source,target,value
dormente,entorpecido,1.0
dormente,insensível,1.0
dormente,estagnado,1.0
dormente,estofo,1.0
dormente,corredio,1.0
dormente,corrente,1.0
dormente,adormentado,1.0
dormente,adormido,1.0
dormente,repousado,1.0
dormente,sopitado,1.0
dormente,despertado,1.0
dormente,desperto,1.0
dormente,esperto,1.0
dormente,bonançoso,1.0
dormente,calmo,1.0
dormente,chão,1.0
dormente,manso,1.0
dormente,plácido,1.0
dormente,remansado,1.0
dormente,remansoso,1.0
dormente,sereno,1.0
dormente,agitado,1.0
dormente,borrascoso,1.0
dormente,bravio,1.0
dormente,bravo,1.0
dormente,crespo,1.0
dormente,empolado,1.0
dormente,encapelado,1.0
dormente,enfurecido,1.0
dormente,proceloso,1.0
dormente,revolto,1.0
dormente,tempestuoso,1.0
dormente,violento,1.0
