source,target,value
edificar,instruir,1.0
edificar,sustentar,1.0
edificar,arquitetar,1.0
edificar,construir,1.0
edificar,elevar,1.0
edificar,erguer,1.0
edificar,erigir,1.0
edificar,fabricar,1.0
edificar,aluir,1.0
edificar,apear,1.0
edificar,arrasar,1.0
edificar,arruinar,1.0
edificar,delapidar,1.0
edificar,demolir,1.0
edificar,derribar,1.0
edificar,derrocar,1.0
edificar,derrubar,1.0
edificar,derruir,1.0
edificar,desapear,1.0
edificar,desfabricar,1.0
edificar,desmanchar,1.0
edificar,desmantelar,1.0
edificar,desmontar,1.0
edificar,desmoronar,1.0
edificar,destruir,1.0
edificar,dilapidar,1.0
edificar,dirruir,1.0
edificar,esfacelar,1.0
edificar,esfrangalhar,1.0
edificar,frangalhar,1.0
edificar,subverter,1.0
edificar,criar,1.0
edificar,erguer,1.0
edificar,erigir,1.0
edificar,estabelecer,1.0
edificar,formar,1.0
edificar,fundar,1.0
edificar,instaurar,1.0
edificar,instituir,1.0
edificar,organizar,1.0
edificar,plantar,1.0
edificar,pôr,1.0
