source,target,value
eletrizar,acalorar,1.0
eletrizar,ardejar,1.0
eletrizar,arder,1.0
eletrizar,conflagrar,1.0
eletrizar,entusiasmar,1.0
eletrizar,escaldar,1.0
eletrizar,exalçar,1.0
eletrizar,exaltar,1.0
eletrizar,incender,1.0
eletrizar,incendiar,1.0
eletrizar,inflamar,1.0
eletrizar,referver,1.0
eletrizar,vulcanizar,1.0
eletrizar,acirrar,1.0
eletrizar,açodar,1.0
eletrizar,acordar,1.0
eletrizar,acotovelar,1.0
eletrizar,açular,1.0
eletrizar,afalcoar,1.0
eletrizar,aferroar,1.0
eletrizar,afervorar,1.0
eletrizar,afoguear,1.0
eletrizar,aguilhar,1.0
eletrizar,aguilhoar,1.0
eletrizar,aliciar,1.0
eletrizar,apicaçar,1.0
eletrizar,atiçar,1.0
eletrizar,beliscar,1.0
eletrizar,concitar,1.0
eletrizar,cotovelar,1.0
eletrizar,desafiar,1.0
eletrizar,despertar,1.0
eletrizar,escandescer,1.0
eletrizar,esfoguear,1.0
eletrizar,espicaçar,1.0
eletrizar,esporar,1.0
eletrizar,esporear,1.0
eletrizar,estimular,1.0
eletrizar,estugar,1.0
eletrizar,excitar,1.0
eletrizar,garrochar,1.0
eletrizar,impelir,1.0
eletrizar,incitar,1.0
eletrizar,inflamar,1.0
eletrizar,instigar,1.0
eletrizar,mordicar,1.0
eletrizar,mordiscar,1.0
eletrizar,motivar,1.0
eletrizar,picar,1.0
eletrizar,provocar,1.0
eletrizar,pruir,1.0
eletrizar,prurir,1.0
eletrizar,pungir,1.0
eletrizar,puxar,1.0
eletrizar,repruir,1.0
eletrizar,reprurir,1.0
eletrizar,soprar,1.0
eletrizar,desmotivar,1.0
