source,target,value
embelezado,adereçado,1.0
embelezado,adornado,1.0
embelezado,aformoseado,1.0
embelezado,agalanado,1.0
embelezado,ajaezado,1.0
embelezado,alfaiado,1.0
embelezado,alindado,1.0
embelezado,alinhado,1.0
embelezado,amanhado,1.0
embelezado,aparado,1.0
embelezado,aparamentado,1.0
embelezado,arreado,1.0
embelezado,ataviado,1.0
embelezado,brincado,1.0
embelezado,empavesado,1.0
embelezado,empenado,1.0
embelezado,enfeitado,1.0
embelezado,engalanado,1.0
embelezado,engalenado,1.0
embelezado,esquipado,1.0
embelezado,ornado,1.0
embelezado,ornamentado,1.0
embelezado,desadornado,1.0
embelezado,desaparelhado,1.0
embelezado,desaprimorado,1.0
embelezado,desataviado,1.0
embelezado,desenfeitado,1.0
embelezado,desguarnecido,1.0
embelezado,desornado,1.0
embelezado,desparelhado,1.0
embelezado,simples,1.0
embelezado,singelo,1.0
