source,target,value
embrutecer,bestificar,1.0
embrutecer,embestar,1.0
embrutecer,embrutar,1.0
embrutecer,emburrar,1.0
embrutecer,estultificar,1.0
embrutecer,estupidecer,1.0
embrutecer,estupidificar,1.0
embrutecer,materializar,1.0
embrutecer,abrutar,1.0
embrutecer,ajavardar,1.0
embrutecer,animalizar,1.0
embrutecer,asselvajar,1.0
embrutecer,barbarizar,1.0
embrutecer,bestializar,1.0
embrutecer,bestificar,1.0
embrutecer,brutalizar,1.0
embrutecer,brutificar,1.0
embrutecer,descivilizar,1.0
embrutecer,embrutar,1.0
embrutecer,civilizar,1.0
embrutecer,desbarbarizar,1.0
embrutecer,desbrutalizar,1.0
embrutecer,desmoitar,1.0
embrutecer,desmoutar,1.0
embrutecer,domesticar,1.0
embrutecer,humanar,1.0
embrutecer,humanizar,1.0
embrutecer,limar,1.0
embrutecer,policiar,1.0
embrutecer,urbanizar,1.0
