source,target,value
empapar,banhar,1.0
empapar,beberar,1.0
empapar,embeber,1.0
empapar,embeberar,1.0
empapar,encharcar,1.0
empapar,ensopar,1.0
empapar,molhar,1.0
empapar,desencharcar,1.0
empapar,desensopar,1.0
empapar,dessecar,1.0
empapar,enxugar,1.0
empapar,secar,1.0
empapar,entrar,1.0
empapar,imergir,1.0
empapar,penetrar,1.0
empapar,embair,1.0
empapar,embalar,1.0
empapar,embelecar,1.0
empapar,encantar,1.0
empapar,encravar,1.0
empapar,enganar,1.0
empapar,engodar,1.0
empapar,engrampar,1.0
empapar,engranzar,1.0
empapar,engrazar,1.0
empapar,engrolar,1.0
empapar,enloisar,1.0
empapar,enlousar,1.0
empapar,entreter,1.0
empapar,enviscar,1.0
empapar,ilaquear,1.0
empapar,iludir,1.0
empapar,negacear,1.0
empapar,seduzir,1.0
