source,target,value
empavesado,adereçado,1.0
empavesado,adornado,1.0
empavesado,aformoseado,1.0
empavesado,agalanado,1.0
empavesado,ajaezado,1.0
empavesado,alfaiado,1.0
empavesado,alindado,1.0
empavesado,alinhado,1.0
empavesado,amanhado,1.0
empavesado,aparado,1.0
empavesado,aparamentado,1.0
empavesado,arreado,1.0
empavesado,ataviado,1.0
empavesado,brincado,1.0
empavesado,embelezado,1.0
empavesado,empenado,1.0
empavesado,enfeitado,1.0
empavesado,engalanado,1.0
empavesado,engalenado,1.0
empavesado,esquipado,1.0
empavesado,ornado,1.0
empavesado,ornamentado,1.0
empavesado,desadornado,1.0
empavesado,desaparelhado,1.0
empavesado,desaprimorado,1.0
empavesado,desataviado,1.0
empavesado,desenfeitado,1.0
empavesado,desguarnecido,1.0
empavesado,desornado,1.0
empavesado,desparelhado,1.0
empavesado,simples,1.0
empavesado,singelo,1.0
