source,target,value
empedernecer,empedernir,1.0
empedernecer,empedrar,1.0
empedernecer,empedrenir,1.0
empedernecer,empedernir,1.0
empedernecer,empedrenir,1.0
empedernecer,lapidificar,1.0
empedernecer,petrificar,1.0
empedernecer,empedernir,1.0
empedernecer,empedrenir,1.0
empedernecer,emperrar,1.0
empedernecer,encruar,1.0
empedernecer,encruecer,1.0
empedernecer,encruentar,1.0
empedernecer,endurar,1.0
empedernecer,endurecer,1.0
empedernecer,endurentar,1.0
empedernecer,insensibilizar,1.0
empedernecer,obdurar,1.0
empedernecer,amaciar,1.0
empedernecer,amolecer,1.0
empedernecer,brandear,1.0
empedernecer,comover,1.0
empedernecer,degelar,1.0
empedernecer,derreter,1.0
empedernecer,desempedernir,1.0
empedernecer,desencruar,1.0
empedernecer,embrandecer,1.0
empedernecer,enternecer,1.0
empedernecer,maciar,1.0
empedernecer,render,1.0
empedernecer,sensibilizar,1.0
