source,target,value
empeiticar,aferrenhar-se,1.0
empeiticar,afincar-se,1.0
empeiticar,amarrar-se,1.0
empeiticar,amuar,1.0
empeiticar,aperrar,1.0
empeiticar,aporfiar,1.0
empeiticar,carregar,1.0
empeiticar,caturrar,1.0
empeiticar,embestar,1.0
empeiticar,emperrar,1.0
empeiticar,encafifar,1.0
empeiticar,encasquetar-se,1.0
empeiticar,enfincar-se,1.0
empeiticar,engar,1.0
empeiticar,entesar,1.0
empeiticar,fincar-se,1.0
empeiticar,insistir,1.0
empeiticar,marralhar,1.0
empeiticar,martelar,1.0
empeiticar,obstinar-se,1.0
empeiticar,porfiar,1.0
empeiticar,recalcitrar,1.0
empeiticar,renitir,1.0
empeiticar,teimar,1.0
empeiticar,tesar,1.0
empeiticar,tungar,1.0
empeiticar,desencasquetar,1.0
