source,target,value
encaminhar,endereçar,1.0
encaminhar,enviar,1.0
encaminhar,estradear,1.0
encaminhar,encarreirar,1.0
encaminhar,ensoar,1.0
encaminhar,entoar,1.0
encaminhar,enveredar,1.0
encaminhar,estradear,1.0
encaminhar,guiar,1.0
encaminhar,orientar,1.0
encaminhar,desencabeçar,1.0
encaminhar,direcionar,1.0
encaminhar,dirigir,1.0
encaminhar,encalar,1.0
encaminhar,estradear,1.0
encaminhar,induzir,1.0
encaminhar,levar,1.0
encaminhar,enviar,1.0
encaminhar,estradear,1.0
encaminhar,expedir,1.0
encaminhar,mandar,1.0
encaminhar,remeter,1.0
