source,target,value
encharcar,banhar,1.0
encharcar,beberar,1.0
encharcar,embeber,1.0
encharcar,embeberar,1.0
encharcar,empapar,1.0
encharcar,ensopar,1.0
encharcar,molhar,1.0
encharcar,desempapar,1.0
encharcar,desensopar,1.0
encharcar,dessecar,1.0
encharcar,enxugar,1.0
encharcar,secar,1.0
encharcar,apaular,1.0
encharcar,empantanar,1.0
encharcar,inundar,1.0
encharcar,invadir,1.0
encharcar,ocupar,1.0
encharcar,tomar,1.0
encharcar,alegrar,1.0
encharcar,avinhar,1.0
encharcar,embebedar,1.0
encharcar,emborrachar,1.0
encharcar,embriagar,1.0
encharcar,inebriar,1.0
encharcar,letificar,1.0
encharcar,mamar,1.0
encharcar,desemborrachar,1.0
encharcar,desembriagar,1.0
