source,target,value
encobardar,acobardar,1.0
encobardar,acovardar,1.0
encobardar,desacorçoar,1.0
encobardar,desacoroçoar,1.0
encobardar,desanimar,1.0
encobardar,descoraçoar,1.0
encobardar,descoroçoar,1.0
encobardar,acovardar,1.0
encobardar,amedrontar,1.0
encobardar,apavorar,1.0
encobardar,apavorizar,1.0
encobardar,assombrar,1.0
encobardar,assustar,1.0
encobardar,atemorar,1.0
encobardar,atemorizar,1.0
encobardar,aterrar,1.0
encobardar,aterrorizar,1.0
encobardar,despavorir,1.0
encobardar,encovardar,1.0
encobardar,espantar,1.0
encobardar,espavorecer,1.0
encobardar,espavorir,1.0
encobardar,espavorizar,1.0
encobardar,estarrecer,1.0
encobardar,esterrecer,1.0
encobardar,estremecer,1.0
encobardar,gelar,1.0
encobardar,intimidar,1.0
encobardar,terrificar,1.0
encobardar,terrorar,1.0
encobardar,terrorizar,1.0
encobardar,animar,1.0
encobardar,desacobardar,1.0
encobardar,desacovardar,1.0
encobardar,desatemorizar,1.0
encobardar,encorajar,1.0
encobardar,esforçar,1.0
encobardar,estimular,1.0
encobardar,incentivar,1.0
encobardar,incitar,1.0
