source,target,value
encontroada,empuxão,1.0
encontroada,encontrada,1.0
encontroada,encontrão,1.0
encontroada,esbarrão,1.0
encontroada,repelão,1.0
encontroada,repelido,1.0
encontroada,repelo,1.0
encontroada,satracão,1.0
encontroada,abalroada,1.0
encontroada,abalroamento,1.0
encontroada,baque,1.0
encontroada,batida,1.0
encontroada,choque,1.0
encontroada,colisão,1.0
encontroada,encontrada,1.0
encontroada,encontrão,1.0
encontroada,encontro,1.0
encontroada,impacto,1.0
encontroada,topada,1.0
encontroada,tope,1.0
encontroada,trombada,1.0
